sigla_uf,area_ha,categoria,ano,Municipio,nome,geocodigo
MT,520.35163890846,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,28.42181251795,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,226.6292669889,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,168.80802658956,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,50.71378283964,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,187.09119165576,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,188.96319152472,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,227.81860628482,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,106.57821906345,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,383.99092088053,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,692.54507910647,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,332.79729875909,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,121.65381917578,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,258.47345625554,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,76.94132949424,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,32.78717985158,não autorizada,2016,Rondolândia,Rondolândia,5107578
MT,165.50651043,não autorizada,2016,Rondolândia,Rondolândia,5107578
MT,476.84891893129,não autorizada,2016,Rondolândia,Rondolândia,5107578
MT,57.66052696104,não autorizada,2016,Rondolândia,Rondolândia,5107578
MT,81.19660244923,não autorizada,2016,Rondolândia,Rondolândia,5107578
MT,81.24998343348,não autorizada,2016,Rondolândia,Rondolândia,5107578
MT,249.02326150025,não autorizada,2016,Rondolândia,Rondolândia,5107578
MT,38.74303698456,não autorizada,2016,Colniza,Colniza,5103254
MT,37.05526770107,não autorizada,2016,Colniza,Colniza,5103254
MT,129.48648952951,não autorizada,2016,Colniza,Colniza,5103254
MT,56.56807654813,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,332.16095292054,não autorizada,2016,Juína,Aripuanã,5101407
MT,315.16104862393,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,910.05109400148,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,29.36579946679,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,106.44105386071,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,728.60386610388,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,130.22403485625,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,419.6424687908,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,161.37661086175,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,120.38842059919,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,416.76339590109,não autorizada,2016,Juruena,Juruena,5105176
MT,20.72212972198,não autorizada,2016,Juruena,Juruena,5105176
